text	label
regretted	0
growing threat	0
turned down	0
firmly on the wrong side of international law	0
successes	1
are bracing	0
expressed gratitude	1
repeatedly accused	0
involves some contradictions	0
would not support	0
suffer from unfair us policies	0
threatened	0
top concern	0
condemned	0
protect the environment	1
wrong	0
neither very complicated nor very expensive	1
praised	1
no more than that	0
proliferation	0
invited	1
blamed	0
cost - effective	1
attacks	0
further expressed alarm	0
also too much interference	0
makes the republic of china vanish	0
reduced to objects	0
prevents	0
daylight robbery	0
terrorism	0
implored	1
explicit statements of support for	1
praised	1
harm is not limited to the incident itself	0
would amount to a flagrant violation	0
repeatedly threatened	0
wept over	0
the trip of a lifetime	1
axis of evil	0
proposal to reunify	1
validate a sham	0
be optimistic	1
reined in	0
dishonoring	0
the like of which has never been seen before	0
wanted	1
to challenge	0
unconstitutional	0
inflicted nuclear disaster on humankind	0
called for	1
admiration	1
patronizing	0
the wrath of	0
frantically making efforts	1
that 's a fair deal	1
surge	1
worried	0
a true ally	1
spurning	0
thank	1
it delivered that blow , and hit argentina	0
grown too tired	0
criticizing	0
his aggression	0
to achieve a just solution	1
hold on power	0
quite a leap forward	1
ended successfully	1
a power	1
succeed	1
simplistic	0
protested	0
warned	0
branded as evil	0
instead stay at the ritz - carlton	0
called for	1
like hitler 's threats	0
active role	1
those making the climate worse	0
can only speak of	0
a dramatic warning	0
support	1
alleges	0
will continue to support	1
to the contrary	1
have made clear their stand against	0
breathed a collective sigh of relief	1
never	0
highly destructive	0
continuously denounced	0
do n't go with a preconceived idea	0
considers	0
ambiguous	0
is adamantly against	0
urge	1
be a cover for	0
repeatedly guaranteed	1
had expressed doubt	0
has supported	1
want	1
willing to die	0
credible	1
agreeable to	1
cronies	0
finally started tumbling down	1
axis of evil	0
reality that is much worse than war	0
nobody is happy	0
accidental slight	0
rendered worthless	0
boasted	0
more concrete support	1
integral part of the successful formula	1
meaningless	0
friendship and cooperation	1
harbored intentions	0
breaking fundamental concepts	0
has promised	1
will call on	1
objected	0
humiliate	0
twenties , thirties and fifties	0
exalted	1
have made every israeli an enemy and a target	0
claims to advocate	1
the head of an empire of evil	0
demonstrable progress	1
stereotyped allegations	0
massacring thousands of innocent people	0
everyday life will get back to normal	1
a kind of collective punishment	0
higher than any time in the past several hundred thousand years	0
favour independence	1
not	0
has accused	0
policy of terror and death	0
jubilant	1
concerns	0
clearly	1
no enemy of consequence in sight	0
strong commitments	1
delinquent	0
blessed	1
also hope	1
enormous implications	0
have criticized	0
many years of decay	0
might encourage	0
beyond reproach	1
herein lies his wicked intention	0
am sure	1
goodies	0
is firmly opposed to	0
as an act of submission	0
legitimate	1
the worst crisis	0
would be solved through peaceful means	1
the difficulties of even	0
unlawful combatants	0
gave much food for thought	0
suffering from	0
were suspected of	0
has been praised	1
assassins , assassins , assassins	0
remove suspicion	0
wanted	1
sent congratulations	1
put an end	0
well off	0
raising the objection	0
relative success	1
was rebuffed	0
intimidation and violence	0
stolen	0
systematic campaign of violence and intimidation	0
welcome and support	1
do n't want	0
dangerous	0
launched a broad assault	0
has a reason to repent	0
a puppet of london	0
very pleasant for	1
indifferent	0
interest	1
free and independent state	1
kill	0
disagreement	0
has promised	1
would like	1
have cast doubt	0
act of betrayal against mankind	0
very strong sense	1
inexcusable mistake	0
intended to be a warning	0
supported	1
can not	0
in satisfactory terms	1
running out of meaningful options	0
recognize	1
is in the process of eroding	0
rally	0
is reasonable , humane , legal , proper , and compatible	1
firm support	1
protest	0
asked	1
democracy exhausted all its generosity	0
invited	1
all but dismissed	0
high level of politically motivated violence	0
had accepted	1
may also have changed nothing	0
one of the worst examples of rights abuses	0
a lot better than they are	0
a convenient electoral tool	0
personal interests	1
complaints	0
fear	0
disenfranchised	0
glorious past	1
unfortunately	0
constant aggressive	0
endorse	1
would be handicapped	0
most likely	0
recognition	1
complicity	0
axis of evil remark	0
violent reaction	0
smiled broadly	1
strikes at the heart	0
violent protests	0
just and legitimate	1
rejection of	0
massively rigged	0
could become embarrassing	0
bastion of resistance	0
has long accused	0
refused	0
have complete confidence	1
traitor	0
much better	1
sought	1
appropriate , serious , and worthy measures	1
into a corner	0
ever more serious	0
a free hand regarding chechnia	1
praised	1
the guilt or otherwise	0
overreacting	0
will not allow	0
slams	0
most ludicrous	0
am pleased to send my warm congratulations	1
axis of evil	0
to convince	1
strongly denounced	0
ridicule	0
is indeed grateful	1
bellowing	0
if it becomes more of a nuisance	0
want to	1
right - wing	0
still	0
worried	0
to determine the outcome of an african election in europe	0
should take urgent measures	1
illegitimate	0
not responsible	0
do - it - our - way	0
to be used as a bargaining chip	0
kind of propaganda war	0
sympathy	0
called for	1
wanted to avoid	0
horrible attacks	0
to take issue with	0
relatively calm	1
were easing	1
stiff opposition	0
danger they pose	0
demand	1
bruised	0
wanted	1
will not	0
hopes	1
safeguarding	1
authoritarian or repressive	0
supports	1
derived nothing but encouragement	0
it 's too good for the bastards	0
it is due to this hegemony	0
wold rather	1
will have sown the seed	0
resounding and sustained fall	0
not just any lawbreaking person	0
own exclusive interests	0
would n't it be better	1
he will be there [ in ramallah ] for as long as i remain prime minister	0
clearly at this point there is no cause	0
could fray the bilateral goodwill	0
ran out of patience	0
under the excuse of fighting terrorism	0
a veritable media triumph	1
heavy human losses	0
using violence , intimidation , special laws and dirty tricks to fix the two - day election	0
criticism	0
seek	1
inevitably succumb	0
axis of evil	0
madness	0
classic techniques	0
vanquished	0
challenged	0
all the mighty	0
particularly affected would be	0
threatened	0
reconciliation	1
embark on trampling upon human rights of civilians	0
upholding	1
attacks	0
losing currency	0
wanted	1
misled by the smear campaign and information sabotage	0
refuses	0
will fight	0
to applaud everything	1
never gave us politicians the right	0
in its hands	0
as quickly as possible	1
made unfounded charges by accusing	0
an unjust one	0
supported	1
a chilly reception	0
environmental public spiritedness	1
the disorder of a closed economy	0
surging	0
unjustified escalation	0
it is itself the violator of human rights	0
are against	0
endorsed	1
cope	0
pleases	1
as if it was a greek cypriot republic	0
safeguarding	1
so make that necessary restraint .	0
developed a habit of	0
wish to raise	1
open	1
about cold - blood accomplices to murder , because that is what these al - qa'ida disciples at guantanamo bay are	0
denies	0
within the just range	1
criticized	0
removed from the reality	0
would be unjust and counterproductive	0
an ``axis of evil	0
more serious and direct challenge	0
scorn	0
fine words	1
is keeping a wary eye	0
regret	0
recommendation	1
west 's failure	0
support	1
as good as his word	0
will be meaningless	0
is desperate	0
terrorists	0
even more difficult	0
and yet it was unable , despite all its forces , weapons , and measures , to achieve full and comprehensive quiet	0
is a story of success	1
has resisted	0
club gitmo	0
beleaguered	0
says it should have a free hand to storm the palestinian areas ; . assassinate or arrest palestinian citizens ; . demolish homes , headquarters , and establishments ; . uproot thousands of trees ; . and besiege cities and villages as it likes	0
its selfishness	0
blamed	0
an opponent	0
the action of several military generals	0
concentration camp	0
wants	1
more comfortable	1
is insisting	0
did n't want	0
simple lack of respect	0
celebrated	1
does not want	0
for the sake of peace	1
debatable	0
stressed with pride	1
deems	0
break the spirit of	0
storming palestinian territories	0
was like giving away the country to its former colonial masters	0
wo n't be sacrificed	1
paint a grim picture	0
sensory segregation	0
fears	0
does not do what it is supposed to do	0
axis of evil remark	0
that privilege	1
find itself an outcast of	0
withering	0
billions of dollars in lethal weapons every year	0
better situation	1
satisfactory	1
non - negotiable	0
want	1
has been accused	0
want	1
overtures to express official objections	0
the scathing kesas report	0
hardest	0
utter defiance	0
greater	1
criticized	0
torture	0
refuse to fulfill its obligations	0
branding	0
would complain	0
was reluctant	0
better off	1
universal values	1
can serve as a model	1
violence and intimidation	0
abuse of history	0
incapable leader	0
scope for more improvement	1
one that would be adversely affected	0
radical	0
axis of evil	0
does not conform	0
are so hated	0
other slightly troubling images	0
proper	1
us - made israeli war machine	0
are with	1
diplomatic flirtation with leftist world dictators	0
frantically	0
loathsome action	0
the objections	0
that safety net will fall apart	0
raising concerns	0
not holding any lengthy debates	0
laden with threats	0
will remain unchanged	0
fiasco	0
will develop a relationship of cooperation	1
do n't accept	0
natural antipathy	0
find nothing positive	0
transparent	1
failure of	1
relegating the defense of democratic principles to a subordinate place	0
accused	0
step in the right direction	1
dangerous	0
to make this government fail	0
pretty strong	0
are , without exception , very favorable	1
resistance	1
can not accept	0
could have hoped for	1
approval	1
unfair	0
very odd	0
unquestionably	1
the efficiency of bulgarian dmv workers	0
just , legitimate rights	1
continue to strengthen	1
important	1
got out of hand	0
protested against	0
most heavily armed place in the world	0
open	0
violations	0
required a more mature approach	1
congratulation message	1
can not be solved by washington 's arbitrary decision	0
fomented or backed by the cia and the pentagon	0
appeals	1
to deny	0
do not enjoy the minimum guarantees	0
after dithering for a few days	0
there is no will to discuss it	0
monstrous inhumanity	0
would do anything to avoid	0
filed a complaint	0
refuses	0
appetite	1
lack of alternative for power	1
the disturber of peace	0
the protest	0
wants	1
disadvantageous situation	0
but there is little i can do	0
as usual	0
charging	0
sent congratulations	1
marred by	0
hostile reception	0
no quick fix	0
praised	1
they are able to do whatever they want with countries by means of the imf	0
this is no reason to be optimistic	0
oppressive	0
am worried	0
would consider	1
have tended to side	1
formidable deadlock	0
unfounded allegations	0
method reporting	0
hardly qualify	0
to express satisfaction	1
linking	0
axis of evil	0
really cleaning up	1
success	1
claim	0
oppose	0
do reject	0
it must be regarded as an unambiguous message by the international community that the rule of democracy will be upheld in every part of the world	1
fortunately	1
plan	1
reject	0
the problem , he went on , is	0
believes	1
vindicated for himself	1
phenomenon	0
will of	1
challenging and issuing objections	0
welcomed	1
to keep yasser arafat stranded	0
furthermore	0
complained	0
talk anxiously	1
do not recognise	0
is supporting	1
advice	1
wants	1
defended	1
the sphere of its domination	0
the short - lived interim president , boss of bosses	0
should not forget the horror	0
shameful electoral sham	0
had become the closest allies	1
purely	0
beseeched	1
expressed the hope	1
and worse than anything , it is an insult to the iranian nation	0
wanting	1
will not be able to change until the end of mankind	0
opposition to	0
felt	0
turns a blind eye	0
called	1
attacks on the freedoms and values	0
was almost overly humane	0
playing the part of a thug who is feared by all and who likes to punish anyone that complains about his behavior	0
against palestinian terrorism everywhere it exists	0
could explode	0
nothing would come of a meeting	0
had himself to blame	0
are eager	1
uncomfortable meeting	0
criticism	0
the entire palestinian people	0
not at all	0
has escalated wildly	0
protests leveled by	0
undermining	0
persecuting	0
unwarranted	0
is pessimistic	0
should not be condoned	0
brutal	0
no incident serious enough to threaten	1
has called into question	0
persists	0
so - called	0
dictatorial	0
hyperbole ,	0
heavily damaged	0
more sanctions should be imposed	0
are reluctant	0
enormous implications	0
civilized	1
if rummy booked these tough guys into a motel 6 , they 'd complain that there 's no room service	1
is accused	0
was embarrassed	0
but those were the us needs	0
culturally appropriate	1
has confessed	0
to understand	1
fait accompli	0
``red light'' has been issued	0
promised	1
wanted to ignore	1
prerogative and sovereign right	1
a massacre	0
put all the blame	0
only one single	0
nor will mr . stoiber have any illusions	1
excessive	0
generally benefit	1
to understand	1
remained poor	0
with the support	1
long - desired	1
does not mean	0
claimed	0
such an attitude	0
would therefore be appropriate	1
the fatherland 's reunification	1
a primitive thirst for revenge	0
threaten	0
illusion	0
high distress	0
support	1
campaign	0
to attack	0
appraised	1
conducting a calculated campaign of intimidation	0
so vast	0
wants	1
enemy	0
the status of golden boy	0
support	1
lack of religious freedom	0
in case us national security was threatened	0
come to its senses	1
equal footing	1
solid and cordial	1
policy of hegemony	1
claimed	0
rejecting	0
rising tension	0
support	1
arbitrarily	0
being dishonorable	0
no israeli government can provide security	0
criticise	0
plotting	0
likely to grow	0
had handed an official protest	0
advantage	1
unexpectedly tough	0
pet theme	0
would not	0
threatening the world 's peace	0
in argentina 's defense	1
territorial ambition	0
wrong	0
unfounded charges	0
american imperialists	0
only be averted	1
only interested in buying time	0
want more money for themselves ,	0
sheer lies	0
gently balked	0
backed	1
to such policy	0
also thought it hard to agree	0
reject	0
lump	0
will not be the same as	0
do not accept	0
support of	1
onslaught of the international credit vultures	0
pejorative	0
branded	0
within tens of millions of arabs	1
complained	0
defy	0
